Categoria,Departamento,ETI,Data Nascimento
Prof. Coordenador,DEQ,1,1958-10-07 00:00:00
Professor Adjunto,DEM,1,1954-11-26 00:00:00
Professor Adjunto,DEC,1,1956-08-15 00:00:00
Professor Adjunto,DEM,1,1954-10-09 00:00:00
Professor Adjunto,DEC,1,1958-09-30 00:00:00
Professor Adjunto,DEQ,1,1961-01-05 00:00:00
Prof. Coordenador,DEETC,1,1968-07-31 00:00:00
Professor Adjunto,DEC,1,1966-06-13 00:00:00
Assistente do 2.º Triénio,DM,1,1964-09-01 00:00:00
Prof. Coordenador,DEEEA,1,1969-03-26 00:00:00
Professor Coordenador Principal,DEC,1,1957-10-01 00:00:00
Professor Adjunto,DEC,1,1954-10-18 00:00:00
Prof. Coordenador,DEQ,1,1967-05-08 00:00:00
Professor Adjunto,DEQ,1,1971-04-16 00:00:00
Professor Adjunto,DEETC,1,1973-05-13 00:00:00
Professor Adjunto,DEETC,1,1960-04-17 00:00:00
Professor Adjunto,DEEEA,1,1968-09-26 00:00:00
Prof. Coordenador,DEM,1,1964-05-30 00:00:00
Professor Adjunto,DEETC,1,1961-04-20 00:00:00
Professor Adjunto,DM,1,1970-02-10 00:00:00
Professor Adjunto,DEM,1,1970-11-22 00:00:00
Professor Adjunto,DEEEA,1,1968-04-26 00:00:00
Professor Adjunto Convidado,DEC,0.4,1969-07-09 00:00:00
Professor Adjunto,DEETC,1,1968-06-06 00:00:00
Professor Adjunto,DEETC,1,1960-11-04 00:00:00
Professor Adjunto,DEETC,1,1968-09-05 00:00:00
Professor Adjunto,DEETC,1,1974-03-14 00:00:00
Professor Adjunto,DEETC,1,1973-05-28 00:00:00
Assistente,DEC,1,1967-05-28 00:00:00
Professor Adjunto,DF,1,1968-04-18 00:00:00
Professor Adjunto Convidado,DEETC,0.5,1973-06-13 00:00:00
Professor Adjunto,DEETC,1,1961-05-23 00:00:00
Professor Adjunto,DEEEA,1,1970-10-07 00:00:00
Professor Adjunto,DEETC,1,1966-08-13 00:00:00
Professor Adjunto,DEQ,1,1972-03-12 00:00:00
Assistente Convidado,DEEEA,0.55,1955-05-22 00:00:00
Professor Adjunto,DF,1,1960-10-16 00:00:00
Professor Adjunto Convidado,DEEEA,0.4,1969-01-14 00:00:00
Professor Adjunto,DEM,1,1959-01-23 00:00:00
Professor Adjunto,DEQ,1,1970-07-23 00:00:00
Professor Adjunto Convidado,DEM,0.6,1965-05-17 00:00:00
Professor Adjunto,DEC,1,1973-01-29 00:00:00
Professor Adjunto,DEETC,1,1973-05-06 00:00:00
Professor Adjunto,DM,1,1964-07-03 00:00:00
Professor Adjunto,DEETC,1,1970-10-30 00:00:00
Professor Adjunto,DEQ,1,1974-09-03 00:00:00
Assistente Convidado,DEEEA,0.55,1955-03-30 00:00:00
Professor Adjunto,DEETC,1,1975-07-19 00:00:00
Professor Adjunto,DEETC,1,1974-04-19 00:00:00
Professor Adjunto,DM,1,1965-01-15 00:00:00
Professor Adjunto,DEETC,1,1965-09-08 00:00:00
Professor Adjunto,DEEEA,1,1974-08-16 00:00:00
Professor Adjunto,DEEEA,1,1973-09-26 00:00:00
Professor Adjunto,DEC,1,1955-11-07 00:00:00
Prof. Coordenador c/ Agreg. ,DEM,1,1962-01-15 00:00:00
Professor Adjunto,DEEEA,1,1958-09-28 00:00:00
Professor Adjunto,DEEEA,1,1973-01-31 00:00:00
Professor Adjunto,DEQ,1,1972-08-16 00:00:00
Professor Adjunto,DEQ,1,1973-04-16 00:00:00
Professor Adjunto,DF,1,1969-06-21 00:00:00
Professor Adjunto,DEC,1,1964-12-11 00:00:00
Professor Adjunto,DEETC,1,1974-04-07 00:00:00
Professor Adjunto,DEQ,1,1971-11-20 00:00:00
Professor Adjunto,DEQ,1,1974-05-31 00:00:00
Prof. Coordenador,DF,1,1968-12-20 00:00:00
Professor Adjunto,DEETC,1,1973-05-17 00:00:00
Professor Adjunto,DEETC,1,1971-11-02 00:00:00
Professor Adjunto,DEETC,1,1973-05-12 00:00:00
Professor Adjunto,DEETC,1,1975-10-12 00:00:00
Professor Adjunto,DEC,1,1974-02-11 00:00:00
Professor Adjunto,DM,1,1961-05-19 00:00:00
Professor Adjunto,DEETC,1,1970-03-03 00:00:00
Professor Adjunto,DM,1,1971-05-04 00:00:00
Professor Adjunto,DM,1,1971-07-01 00:00:00
Prof. Coordenador c/ Agreg. ,DEETC,1,1967-10-01 00:00:00
Professor Adjunto,DF,1,1964-09-28 00:00:00
Professor Adjunto,DEETC,1,1970-02-26 00:00:00
Professor Adjunto,DEETC,1,1967-10-11 00:00:00
Prof. Coordenador,DM,1,1968-04-06 00:00:00
Professor Adjunto,DEETC,1,1974-04-21 00:00:00
Professor Adjunto,DM,1,1973-12-09 00:00:00
Professor Adjunto,DM,1,1964-06-13 00:00:00
Prof. Coordenador,DEM,1,1957-12-17 00:00:00
Prof. Coordenador,DEM,1,1973-03-12 00:00:00
Prof. Coordenador,DM,1,1971-07-13 00:00:00
Professor Adjunto,DEQ,1,1975-09-25 00:00:00
Professor Adjunto,DEQ,1,1975-07-07 00:00:00
Prof. Coordenador,DEEEA,1,1971-04-29 00:00:00
Professor Adjunto Convidado,DEC,0.2,1965-07-03 00:00:00
Professor Adjunto,DEEEA,1,1975-05-08 00:00:00
Professor Adjunto,DM,1,1973-07-24 00:00:00
Professor Adjunto Convidado,DEC,0.2,1963-03-11 00:00:00
Professor Adjunto,DEQ,1,1973-08-31 00:00:00
Professor Adjunto,DEETC,1,1965-07-26 00:00:00
Professor Adjunto,DEM,1,1975-02-09 00:00:00
Professor Adjunto,DEC,1,1974-11-06 00:00:00
Assistente Convidado,DM,0.55,1967-09-20 00:00:00
Prof. Coordenador,DEETC,1,1966-06-23 00:00:00
