Categoria,Departamento,ETI,Data Nascimento
,DEETC,1.0,1966-06-23
,DEETC,1.0,1975-02-14
,DM,1.0,1972-09-19
,DEM,1.0,1976-05-05
,DEC,1.0,1968-05-02
,DEQ,1.0,1973-03-21
,DM,1.0,1973-06-03
,DEC,1.0,1963-02-25
,DM,1.0,1972-02-08
Equiparado Assistente 2. Trienio,DEM,1.0,1975-06-05
,DM,1.0,1973-07-10
,DEC,0.2,1966-03-03
,DEC,1.0,1972-09-28
,DEQ,1.0,1974-08-27
,DEEEA,1.0,1977-07-06
,DEEEA,1.0,1977-07-29
,DEEEA,1.0,1977-01-22
,DEQ,1.0,1966-05-06
,DM,1.0,1973-03-16
,DEM,1.0,1976-11-09
,DEETC,1.0,1978-11-06
,DEQ,1.0,1977-04-21
,DEC,0.2,1964-03-29
,DEQ,1.0,1973-10-15
,DM,1.0,1975-11-19
,DEETC,0.5,1975-05-30
,DEETC,1.0,1975-06-05
,DEETC,1.0,1977-01-27
,DEETC,1.0,1975-05-16
,DEC,1.0,1976-11-12
,DEEEA,1.0,1977-06-16
,DEM,1.0,1972-07-27
,DEEEA,1.0,1962-07-01
,DM,1.0,1974-01-13
,DEEEA,1.0,1963-11-16
,DEC,1.0,1979-08-25
,DEETC,1.0,1977-11-17
,DEETC,1.0,1978-05-08
,DF,1.0,1962-08-08
,DEC,1.0,1971-01-07
,DEC,1.0,1973-10-08
,DEC,1.0,1967-01-17
,DM,1.0,1977-08-29
,DM,0.55,1970-04-21
,DEQ,1.0,1962-08-09
,DEETC,0.5,1978-09-24
,DEETC,1.0,1977-11-03
,DF,1.0,1970-08-17
,DF,1.0,1970-12-07
,DM,1.0,1976-05-19
,DM,1.0,1975-08-18
,DM,1.0,1975-06-16
,DEETC,1.0,1974-11-06
,DEETC,1.0,1975-11-27
,DEETC,1.0,1977-02-13
,DM,1.0,1976-12-31
,DM,1.0,1979-10-15
,DEETC,0.5,1979-07-01
,DEETC,0.5,1978-09-24
,DM,1.0,1978-11-15
,DEEEA,1.0,1969-07-20
,DEETC,1.0,1978-10-08
,DF,1.0,1969-02-18
,DM,1.0,1978-05-21
,DM,1.0,1976-08-04
,DM,1.0,1976-07-06
,DEETC,1.0,1979-11-01
,DEETC,1.0,1965-09-02
,DEC,1.0,1981-12-07
,DEM,0.6,1978-05-02
,DM,1.0,1978-10-24
,DM,1.0,1980-02-23
,DEC,1.0,1971-10-26
,DM,1.0,1958-04-16
,DEETC,1.0,1970-03-06
,DEETC,1.0,1978-09-01
,DEETC,1.0,1978-02-14
,DM,1.0,1978-12-02
,DEM,1.0,1976-11-23
,DEETC,1.0,1975-04-02
,DEETC,1.0,1978-04-26
,DEM,1.0,1968-01-27
,DEETC,1.0,1974-02-10
,DEQ,1.0,1971-04-26
,DEEEA,1.0,1976-03-29
,DEEEA,1.0,1979-02-18
,DF,1.0,1965-06-08
,DEEEA,1.0,1975-09-16
,DEEEA,0.6,1968-07-24
,DEM,1.0,1960-02-22
,DF,1.0,1970-11-13
,DF,1.0,1972-01-13
,DM,1.0,1969-07-19
,DF,1.0,1974-10-11
,DEM,1.0,1976-06-06
,DEM,1.0,1964-02-25
,DEM,1.0,1967-08-21
,DEM,1.0,1969-01-12
,DEM,1.0,1976-06-13
,DEM,1.0,1969-03-25
,DEETC,0.5,1959-12-20
,DEETC,0.5,1974-07-05
,DEM,0.6,1960-12-29
,DF,1.0,1966-04-23
,DEETC,0.5,1984-04-11
,DM,1.0,1972-04-16
,DEM,1.0,1970-02-02
,DEQ,1.0,1966-02-28
,DEM,1.0,1980-10-24
,DEQ,1.0,1970-09-27
,DEETC,0.5,1989-08-28
,DEM,1.0,1980-01-07
,DEM,0.3,1972-01-12
,DEM,1.0,1986-12-15
,DEM,0.6,1973-03-11
,DEM,1.0,1985-04-08
,DEM,0.5,1978-01-30
,DEM,1.0,1982-12-01
,DEM,1.0,1976-04-26
